Ticker,Company,Pattern,Start Date,End Date,Width,API Start Date,API End Date,Breakout Date,Have Data
LEN,LENA (LEN),downtrend,2023-04-28,2023-08-11,105,2022-06-17,2024-06-21,,False
MDG,MEDICALG (MDG),uptrend,2023-07-25,2023-09-11,48,2023-03-03,2024-02-02,,False
MIL,MILLENNIUM (MIL),uptrend,2023-05-14,2023-09-07,116,2022-05-31,2024-08-20,,False
MIR,MIRACULUM (MIR),uptrend,2023-06-11,2023-08-03,53,2023-01-03,2024-01-09,,False
MIR,MIRACULUM (MIR),uptrend,2022-12-08,2023-02-27,81,2022-04-09,2023-10-28,,False
MIR,MIRACULUM (MIR),uptrend,2022-11-13,2023-01-31,79,2022-03-21,2023-09-25,,False
OPN,OPONEO.PL (OPN),resistance,2023-08-14,2023-09-11,28,2023-05-22,2023-12-04,,False
,WIG-PALIWA,uptrend,2023-05-26,2023-09-08,105,2022-07-15,2024-07-19,,False
IPO,INTERSPPL (IPO),vertical_run_up,2023-08-28,2023-09-05,8,2023-08-04,2023-09-29,,False
PGE,PGE,rising_wedge,2023-06-19,2023-09-08,81,2022-10-19,2024-05-08,,False
DVL,DEVELIA (DVL),double_top,2023-07-09,2023-07-18,9,2023-06-12,2023-08-14,,False
DVL,DEVELIA (DVL),double_top,2023-07-22,2023-08-02,11,2023-06-19,2023-09-04,,False
ACP,ASSECOPOL (ACP),falling_wedge,2023-06-04,2023-09-01,89,2022-09-10,2024-05-25,,False
,WIG-NRCHOM,vertical_run_up,2023-07-02,2023-07-17,15,2023-05-18,2023-08-31,,False
,WIG-MEDIA,double_top,2023-06-11,2023-07-05,24,2023-03-31,2023-09-15,,False
WLT,WIELTON (WLT),double_bottom,2023-07-16,2023-08-28,43,2023-03-09,2024-01-04,,False
BIO,BIOTON (BIO),rising_wedge,2023-07-14,2023-08-22,39,2023-03-19,2023-12-17,,False
,WIG-CHEMIA,double_bottom,2023-07-01,2023-09-08,69,2022-12-06,2024-04-02,,False
CIE,CIECH (CIE),falling_wedge,2023-07-29,2023-08-30,32,2023-04-24,2023-12-04,,False
BIO,BIOTON (BIO),rising_wedge,2023-07-26,2023-09-08,44,2023-03-16,2024-01-18,,False
ATC,ARCTIC (ATC),double_bottom,2023-08-14,2023-08-28,14,2023-07-03,2023-10-09,,False
WLT,WIELTON (WLT),double_bottom,2023-06-10,2023-06-29,19,2023-04-14,2023-08-25,,False
,WIG-CHEMIA,falling_wedge,2023-08-01,2023-08-31,30,2023-05-03,2023-11-29,,False
STP,STALPROD (STP),double_bottom,2023-08-17,2023-09-08,22,2023-06-12,2023-11-13,,False
SNK,SANOK (SNK),falling_wedge,2023-07-11,2023-08-15,35,2023-03-28,2023-11-28,,False
WPL,WIRTUALNA (WPL),falling_wedge,2023-08-13,2023-09-01,19,2023-06-17,2023-10-28,,False
CRJ,CREEPYJAR (CRJ),double_bottom,2023-07-31,2023-08-18,18,2023-06-07,2023-10-11,,False
RVU,RYVU (RVU),flat_base,2023-07-18,2023-09-08,52,2023-02-12,2024-02-11,,False
PEP,PEP,double_bottom,2023-08-29,2023-09-08,10,2023-07-30,2023-10-08,,False
LTX,LENTEX (LTX),falling_wedge,2023-04-30,2023-07-27,88,2022-08-09,2024-04-16,,False
CRJ,CREEPYJAR (CRJ),descending_triangle,2023-07-29,2023-09-07,40,2023-03-31,2024-01-05,,False
CRJ,CREEPYJAR (CRJ),double_bottom,2023-08-23,2023-09-07,15,2023-07-09,2023-10-22,,False
ACP,ASSECOPOL (ACP),falling_wedge,2023-08-01,2023-08-29,28,2023-05-09,2023-11-21,,False
,WIG-NRCHOM,double_top,2023-07-22,2023-08-02,11,2023-06-19,2023-09-04,,False
BOS,BOS,falling_wedge,2023-08-13,2023-09-07,25,2023-05-30,2023-11-21,,False
1AT,ATAL (1AT),falling_wedge,2023-07-30,2023-09-05,37,2023-04-10,2023-12-25,9/8/2023,False
CRJ,CREEPYJAR (CRJ),flat_base,2023-08-03,2023-08-28,25,2023-05-20,2023-11-11,,False
CRJ,CREEPYJAR (CRJ),descending_triangle,2023-07-23,2023-08-18,26,2023-05-06,2023-11-04,,False
MSW,MOSTALWAR (MSW),double_bottom,2023-09-01,2023-09-08,7,2023-08-11,2023-09-29,,False
SGN,SYGNITY (SGN),double_bottom,2023-08-27,2023-09-08,12,2023-07-22,2023-10-14,,False
WPL,WIRTUALNA (WPL),double_bottom,2023-08-21,2023-08-28,7,2023-07-31,2023-09-18,9/8/2023,False
LVC,LIVECHAT (LVC),double_bottom,2023-08-29,2023-09-08,10,2023-07-30,2023-10-08,,False
DNP,DINOPL (DNP),descending_triangle,2023-08-29,2023-09-08,10,2023-07-30,2023-10-08,,False
ACP,ASSECOPOL (ACP),double_bottom,2023-08-30,2023-09-07,8,2023-08-06,2023-10-01,,False
,WIG-CHEMIA,double_bottom,2023-08-29,2023-09-08,10,2023-07-30,2023-10-08,,False
,WIG-MOTO,double_bottom,2023-08-23,2023-09-08,16,2023-07-06,2023-10-26,,False
ECH,ECHO (ECH),double_bottom,2023-08-12,2023-08-18,6,2023-07-25,2023-09-05,9/8/2023,False
INK,INSTALKRK (INK),double_bottom,2023-08-26,2023-09-07,12,2023-07-21,2023-10-13,,False
,WIG-INFO,descending_triangle,2023-08-20,2023-09-05,16,2023-07-03,2023-10-23,,False
,WIG-CHEMIA,descending_channel,2023-07-29,2023-08-31,33,2023-04-21,2023-12-08,,False
,WIG-INFO,double_bottom,2023-08-24,2023-09-08,15,2023-07-10,2023-10-23,,False
,WIG-INFO,double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,False
,WIG-INFO,falling_wedge,2023-08-20,2023-09-08,19,2023-06-24,2023-11-04,,False
WIGTECH,WIGTECH,descending_triangle,2023-08-24,2023-09-08,15,2023-07-10,2023-10-23,,False
SWIG80,SWIG80,double_bottom,2023-08-29,2023-09-08,10,2023-07-30,2023-10-08,,False
SWIG80,SWIG80,rising_wedge,2023-08-26,2023-09-08,13,2023-07-18,2023-10-17,,False
ACP,ASSECOPOL (ACP),downtrend,2023-06-25,2023-09-05,72,2022-11-21,2024-04-08,,False
ASE,ASSECOSEE (ASE),support,2023-05-10,2023-08-30,112,2022-06-08,2024-07-31,,False
BBT,BOOMBIT (BBT),downtrend,2023-06-24,2023-09-06,74,2022-11-14,2024-04-15,,False
CIE,CIECH (CIE),downtrend,2023-07-20,2023-08-30,41,2023-03-19,2023-12-31,,False
FRO,FERRO (FRO),uptrend,2023-06-10,2023-09-08,90,2022-09-13,2024-06-04,,False
PGE,PGE,uptrend,2023-07-01,2023-09-08,69,2022-12-06,2024-04-02,,False
STS,SATIS (STS),support,2023-08-19,2023-09-08,20,2023-06-20,2023-11-07,,False
UNT,UNIMOT (UNT),downtrend,2023-07-15,2023-09-08,55,2023-01-31,2024-02-20,,False
ZEP,ZEPAK (ZEP),downtrend,2023-05-09,2023-09-05,119,2022-05-17,2024-08-27,,False
PGM,PMPG (PGM),vertical_run_up,2023-08-10,2023-08-14,4,2023-07-29,2023-08-26,,False
GTN,GETIN (GTN),pennant,2023-07-22,2023-09-07,47,2023-03-03,2024-01-26,,False
CRM,CORMAY (CRM),descending_triangle,2023-05-03,2023-08-11,100,2022-07-07,2024-06-06,,False
CRM,CORMAY (CRM),descending_triangle,2023-05-10,2023-08-28,110,2022-06-14,2024-07-23,,False
MIL,MILLENNIUM (MIL),rising_wedge,2023-05-08,2023-08-17,101,2022-07-09,2024-06-15,,False
,WIG-ENERG,rising_wedge,2023-06-25,2023-09-07,74,2022-11-15,2024-04-16,,False
,WIG-CHEMIA,double_bottom,2023-06-29,2023-08-28,60,2022-12-31,2024-02-24,,False
FRO,FERRO (FRO),double_top,2023-08-05,2023-09-07,33,2023-04-28,2023-12-15,,False
ETFBW20TR,ETFBW20TR,rising_wedge,2023-05-10,2023-08-21,103,2022-07-05,2024-06-25,,False
INK,INSTALKRK (INK),double_top,2023-07-06,2023-07-20,14,2023-05-25,2023-08-31,,False
CRM,CORMAY (CRM),double_bottom,2023-07-26,2023-09-05,41,2023-03-25,2024-01-06,,False
DCR,DECORA (DCR),double_top,2023-08-19,2023-09-07,19,2023-06-23,2023-11-03,,False
,WIG-GORNIC,double_bottom,2023-06-27,2023-08-21,55,2023-01-13,2024-02-02,,False
ATD,ATENDE (ATD),double_bottom,2023-07-26,2023-08-28,33,2023-04-18,2023-12-05,,False
INK,INSTALKRK (INK),rising_wedge,2023-06-10,2023-07-19,39,2023-02-13,2023-11-13,,False
BMC,BUMECH (BMC),double_bottom,2023-07-22,2023-08-24,33,2023-04-14,2023-12-01,,False
,WIG-BANKI,vertical_run_up,2023-07-09,2023-07-19,10,2023-06-09,2023-08-18,,False
ATD,ATENDE (ATD),falling_wedge,2023-06-23,2023-07-18,25,2023-04-09,2023-10-01,,False
,WIG-MEDIA,h&s_top,2023-07-01,2023-09-05,66,2022-12-15,2024-03-21,,False
DAD,DADELO (DAD),triangle,2023-08-04,2023-09-05,32,2023-04-30,2023-12-10,,False
B24,BRAND24 (B24),double_top,2023-06-13,2023-07-04,21,2023-04-11,2023-09-05,9/7/2023,False
ETFBW20TR,ETFBW20TR,vertical_run_up,2023-07-11,2023-07-19,8,2023-06-17,2023-08-12,,False
,WIG-CHEMIA,double_bottom,2023-06-05,2023-06-14,9,2023-05-09,2023-07-11,,False
SWIG80,SWIG80,h&s_top,2023-06-22,2023-09-05,75,2022-11-09,2024-04-17,,False
SKH,SKARBIEC (SKH),double_top,2023-07-26,2023-08-04,9,2023-06-29,2023-08-31,9/7/2023,False
DCR,DECORA (DCR),flat_base,2023-08-01,2023-09-07,37,2023-04-12,2023-12-27,,False
CRM,CORMAY (CRM),rising_wedge,2023-05-01,2023-05-29,28,2023-02-06,2023-08-21,9/7/2023,False
PHN,PHN,double_bottom,2023-08-24,2023-09-07,14,2023-07-13,2023-10-19,,False
PKN,PKNORLEN (PKN),rising_wedge,2023-06-22,2023-08-10,49,2023-01-26,2024-01-04,9/7/2023,False
ALE,ALLEGRO (ALE),falling_wedge,2023-08-18,2023-09-07,20,2023-06-19,2023-11-06,,False
PKP,PKPCARGO (PKP),double_bottom,2023-08-17,2023-09-07,21,2023-06-15,2023-11-09,,False
ASE,ASSECOSEE (ASE),falling_wedge,2023-05-11,2023-05-24,13,2023-04-02,2023-07-02,9/7/2023,False
,WIG-CHEMIA,vertical_run_up,2023-06-12,2023-06-16,4,2023-05-31,2023-06-28,,False
BHW,HANDLOWY (BHW),double_top,2023-06-27,2023-07-21,24,2023-04-16,2023-10-01,,False
GTN,GETIN (GTN),triangle,2023-08-14,2023-09-07,24,2023-06-03,2023-11-18,,False
ATT,GRUPAAZOTY (ATT),double_bottom,2023-08-24,2023-09-07,14,2023-07-13,2023-10-19,,False
CRM,CORMAY (CRM),double_bottom,2023-07-08,2023-07-14,6,2023-06-20,2023-08-01,9/7/2023,False
ASE,ASSECOSEE (ASE),double_top,2023-04-03,2023-04-17,14,2023-02-20,2023-05-29,9/7/2023,False
BHW,HANDLOWY (BHW),falling_wedge,2023-08-07,2023-08-21,14,2023-06-26,2023-10-02,,False
DNP,DINOPL (DNP),double_bottom,2023-08-29,2023-09-07,9,2023-08-02,2023-10-04,,False
FW20,FW20,flag,2023-07-17,2023-08-11,25,2023-05-03,2023-10-25,9/7/2023,False
STP,STALPROD (STP),double_bottom,2023-08-11,2023-08-18,7,2023-07-21,2023-09-08,,False
BHW,HANDLOWY (BHW),flat_base,2023-06-20,2023-07-17,27,2023-03-31,2023-10-06,,False
WLT,WIELTON (WLT),rising_wedge,2023-07-09,2023-08-07,29,2023-04-13,2023-11-02,9/7/2023,False
CRM,CORMAY (CRM),descending_triangle,2023-06-20,2023-07-13,23,2023-04-12,2023-09-20,9/7/2023,False
ICE,MEDINICE (ICE),descending_triangle,2023-08-06,2023-08-18,12,2023-07-01,2023-09-23,9/7/2023,False
,WIG-POLAND,falling_wedge,2023-08-06,2023-08-21,15,2023-06-22,2023-10-05,,False
CRM,CORMAY (CRM),falling_wedge,2023-08-10,2023-09-05,26,2023-05-24,2023-11-22,9/7/2023,False
,WIG-CHEMIA,h&s_bottom,2023-08-22,2023-09-01,10,2023-07-23,2023-10-01,,False
ATD,ATENDE (ATD),descending_triangle,2023-08-08,2023-08-24,16,2023-06-21,2023-10-11,9/7/2023,False
CRM,CORMAY (CRM),falling_wedge,2023-08-10,2023-08-31,21,2023-06-08,2023-11-02,9/7/2023,False
ICE,MEDINICE (ICE),rising_wedge,2023-07-12,2023-07-26,14,2023-05-31,2023-09-06,9/7/2023,False
CRM,CORMAY (CRM),triangle,2023-08-12,2023-08-31,19,2023-06-16,2023-10-27,9/7/2023,False
,WIG-PALIWA,double_top,2023-08-02,2023-08-11,9,2023-07-06,2023-09-07,9/7/2023,False
,WIG-PALIWA,inverted_triangle,2023-07-26,2023-08-11,16,2023-06-08,2023-09-28,9/7/2023,False
ETFBW20TR,ETFBW20TR,double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,False
WIG,WIG,double_top,2023-06-22,2023-07-05,13,2023-05-14,2023-08-13,,False
AMC,AMICA (AMC),support,2023-08-04,2023-09-07,34,2023-04-24,2023-12-18,,False
CRM,CORMAY (CRM),support,2023-05-22,2023-08-28,98,2022-08-01,2024-06-17,,False
DCR,DECORA (DCR),resistance,2023-07-08,2023-09-07,61,2023-01-06,2024-03-08,,False
ING,INGBSK (ING),uptrend,2023-06-13,2023-09-07,86,2022-09-28,2024-05-22,,False
LPP,LPP,downtrend,2023-07-09,2023-09-07,60,2023-01-10,2024-03-05,,False
,WIG-ENERG,uptrend,2023-05-21,2023-09-07,109,2022-06-28,2024-07-30,,False
,WIG-MEDIA,uptrend,2023-01-27,2023-03-24,56,2022-08-12,2023-09-08,,False
,WIG-SPOZYW,support,2023-03-10,2023-07-03,115,2022-03-30,2024-06-12,,False
WIGTECH,WIGTECH,support,2023-06-03,2023-09-07,96,2022-08-19,2024-06-21,,False
ETFBW20LV,ETFBW20LV,rising_wedge,2023-05-10,2023-08-24,106,2022-06-26,2024-07-07,,False
ART,ARTIFEX (ART),rising_wedge,2023-06-28,2023-09-06,70,2022-11-30,2024-04-03,,False
EAH,ESOTIQ (EAH),pennant,2023-07-25,2023-09-01,38,2023-04-02,2023-12-24,,False
STS,SATIS (STS),h&s_top,2023-06-10,2023-08-18,69,2022-11-15,2024-03-12,,False
STS,SATIS (STS),h&s_top,2023-05-29,2023-08-18,81,2022-09-28,2024-04-17,,False
CRM,CORMAY (CRM),descending_triangle,2023-04-26,2023-07-18,83,2022-08-20,2024-03-23,,False
ALR,ALIOR (ALR),rising_wedge,2023-05-10,2023-08-24,106,2022-06-26,2024-07-07,,False
DNP,DINOPL (DNP),rising_wedge,2023-05-06,2023-07-10,65,2022-10-23,2024-01-21,9/6/2023,False
XTB,XTB,rising_wedge,2023-04-22,2023-05-17,25,2023-02-06,2023-07-31,9/6/2023,False
STS,SATIS (STS),double_bottom,2023-06-19,2023-08-03,45,2023-02-04,2023-12-16,,False
ING,INGBSK (ING),double_top,2023-07-25,2023-08-15,21,2023-05-23,2023-10-17,,False
WIG20,WIG20,rising_wedge,2023-05-12,2023-08-28,108,2022-06-22,2024-07-17,,False
PZU,PZU,double_top,2023-07-05,2023-07-31,26,2023-04-18,2023-10-17,,False
WIG30,WIG30,rising_wedge,2023-05-12,2023-08-28,108,2022-06-22,2024-07-17,,False
ETFBW20LV,ETFBW20LV,h&s_top,2023-07-23,2023-09-05,44,2023-03-13,2024-01-15,,False
FW20,FW20,rising_wedge,2023-05-10,2023-08-24,106,2022-06-26,2024-07-07,,False
PHR,PHARMENA (PHR),rising_wedge,2023-05-22,2023-08-17,87,2022-09-03,2024-05-04,9/6/2023,False
BOS,BOS,rising_wedge,2023-03-31,2023-04-27,27,2023-01-09,2023-07-17,9/6/2023,False
XTB,XTB,rising_wedge,2023-03-10,2023-05-15,66,2022-08-24,2023-11-29,9/6/2023,False
PKN,PKNORLEN (PKN),h&s_top,2023-07-17,2023-08-23,37,2023-03-28,2023-12-12,,False
SPL,SANPL (SPL),falling_wedge,2023-07-31,2023-08-25,25,2023-05-17,2023-11-08,,False
SPL,SANPL (SPL),h&s_top,2023-07-05,2023-08-30,56,2023-01-18,2024-02-14,,False
XTB,XTB,falling_wedge,2023-07-23,2023-08-17,25,2023-05-09,2023-10-31,9/6/2023,False
PEO,PEKAO (PEO),h&s_top,2023-07-14,2023-09-01,49,2023-02-17,2024-01-26,,False
PEO,PEKAO (PEO),double_top,2023-06-26,2023-07-21,25,2023-04-12,2023-10-04,,False
SGN,SYGNITY (SGN),double_bottom,2023-07-17,2023-08-29,43,2023-03-10,2024-01-05,,False
AMB,AMBRA (AMB),double_top,2023-05-16,2023-05-22,6,2023-04-28,2023-06-09,9/6/2023,False
,WIG-ODZIEZ,vertical_run_up,2023-08-29,2023-09-04,6,2023-08-11,2023-09-22,,False
PKN,PKNORLEN (PKN),rising_wedge,2023-05-10,2023-08-21,103,2022-07-05,2024-06-25,,False
MLS,MLSYSTEM (MLS),double_bottom,2023-08-31,2023-09-06,6,2023-08-13,2023-09-24,,False
AGT,AGROTON (AGT),double_bottom,2023-07-24,2023-08-04,11,2023-06-21,2023-09-06,9/6/2023,False
ICE,MEDINICE (ICE),rising_wedge,2023-06-24,2023-08-11,48,2023-01-31,2024-01-02,,False
WIG20SHORT,WIG20SHORT,double_bottom,2023-05-30,2023-06-13,14,2023-04-18,2023-07-25,,False
DCR,DECORA (DCR),flat_base,2023-07-02,2023-08-11,40,2023-03-04,2023-12-09,,False
,WIG-PALIWA,rising_wedge,2023-06-27,2023-08-21,55,2023-01-13,2024-02-02,,False
TRK,TRAKCJA (TRK),falling_wedge,2023-05-17,2023-08-03,78,2022-09-25,2024-03-24,,False
SPL,SANPL (SPL),double_bottom,2023-08-21,2023-09-01,11,2023-07-19,2023-10-04,,False
PEO,PEKAO (PEO),double_bottom,2023-08-27,2023-09-04,8,2023-08-03,2023-09-28,,False
ETFBW20ST,ETFBW20ST,h&s_bottom,2023-07-23,2023-09-05,44,2023-03-13,2024-01-15,,False
EAH,ESOTIQ (EAH),double_top,2023-07-27,2023-08-02,6,2023-07-09,2023-08-20,,False
FW20,FW20,double_top,2023-06-29,2023-07-26,27,2023-04-09,2023-10-15,,False
PKO,PKOBP (PKO),double_bottom,2023-08-24,2023-09-04,11,2023-07-22,2023-10-07,,False
ETFBW20ST,ETFBW20ST,double_bottom,2023-07-08,2023-08-01,24,2023-04-27,2023-10-12,,False
AGT,AGROTON (AGT),double_bottom,2023-08-24,2023-09-01,8,2023-07-31,2023-09-25,,False
ENA,ENEA (ENA),double_top,2023-07-30,2023-08-24,25,2023-05-16,2023-11-07,9/6/2023,False
AMB,AMBRA (AMB),rising_wedge,2023-05-20,2023-06-05,16,2023-04-02,2023-07-23,9/6/2023,False
RNK,RANKPROGR (RNK),rising_wedge,2023-07-05,2023-08-17,43,2023-02-26,2023-12-24,9/6/2023,False
AMC,AMICA (AMC),triangle,2023-07-31,2023-08-24,24,2023-05-20,2023-11-04,,False
NWG,NEWAG (NWG),ascending_triangle,2023-07-03,2023-09-06,65,2022-12-20,2024-03-19,,False
FW20,FW20,h&s_top,2023-07-23,2023-09-05,44,2023-03-13,2024-01-15,,False
ENA,ENEA (ENA),double_top,2023-07-25,2023-08-11,17,2023-06-04,2023-10-01,9/6/2023,False
PGE,PGE,double_top,2023-07-22,2023-08-02,11,2023-06-19,2023-09-04,9/6/2023,False
DAD,DADELO (DAD),triangle,2023-08-23,2023-09-07,15,2023-07-09,2023-10-22,,False
STS,SATIS (STS),inverted_triangle,2023-08-08,2023-08-18,10,2023-07-09,2023-09-17,,False
ETFBW20LV,ETFBW20LV,double_bottom,2023-08-27,2023-09-04,8,2023-08-03,2023-09-28,,False
WIG20,WIG20,h&s_top,2023-07-16,2023-09-05,51,2023-02-13,2024-02-05,,False
UNI,UNIBEP (UNI),double_bottom,2023-08-17,2023-08-30,13,2023-07-09,2023-10-08,,False
WIG30,WIG30,h&s_top,2023-07-23,2023-09-05,44,2023-03-13,2024-01-15,,False
KRU,KRUK (KRU),double_bottom,2023-08-29,2023-09-04,6,2023-08-11,2023-09-22,,False
XTB,XTB,double_bottom,2023-08-25,2023-09-01,7,2023-08-04,2023-09-22,,False
RNK,RANKPROGR (RNK),falling_wedge,2023-08-11,2023-08-23,12,2023-07-06,2023-09-28,9/6/2023,False
TRK,TRAKCJA (TRK),double_bottom,2023-08-11,2023-08-30,19,2023-06-15,2023-10-26,,False
KRU,KRUK (KRU),rising_wedge,2023-05-22,2023-07-05,44,2023-01-10,2023-11-14,,False
NWG,NEWAG (NWG),flat_base,2023-08-07,2023-09-06,30,2023-05-09,2023-12-05,,False
EAH,ESOTIQ (EAH),falling_wedge,2023-08-07,2023-09-01,25,2023-05-24,2023-11-15,,False
,WIG-ENERG,h&s_top,2023-08-20,2023-08-30,10,2023-07-21,2023-09-29,9/6/2023,False
NWG,NEWAG (NWG),descending_triangle,2023-08-07,2023-09-06,30,2023-05-09,2023-12-05,,False
PKP,PKPCARGO (PKP),ascending_triangle,2023-08-13,2023-08-25,12,2023-07-08,2023-09-30,,False
QRS,QUERCUS (QRS),double_bottom,2023-08-29,2023-09-07,9,2023-08-02,2023-10-04,,False
DAD,DADELO (DAD),descending_triangle,2023-08-24,2023-09-05,12,2023-07-19,2023-10-11,,False
WLT,WIELTON (WLT),falling_wedge,2023-08-15,2023-09-04,20,2023-06-16,2023-11-03,,False
,WIG-SPOZYW,inverted_triangle,2023-05-02,2023-05-15,13,2023-03-24,2023-06-23,9/6/2023,False
